SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
MAA_20230802,Maastricht,2023-08-02,Wednesday,54.8,71.8,153
ROT_20230611,Rotterdam,2023-06-11,Sunday,55.5,61.8,144
UTR_20230818,Utrecht,2023-08-18,Friday,68.2,78.5,139
AMS_20230913,Amsterdam,2023-09-13,Wednesday,57.6,73.0,149
UTR_20230619,Utrecht,2023-06-19,Monday,70.5,76.3,133
GRO_20231109,Groningen,2023-11-09,Thursday,52.9,70.3,155
MAA_20231224,Maastricht,2023-12-24,Sunday,60.1,69.6,144
UTR_20230406,Utrecht,2023-04-06,Thursday,69.6,74.4,134
MAA_20230610,Maastricht,2023-06-10,Saturday,52.0,70.7,157
MAA_20240130,Maastricht,2024-01-30,Tuesday,59.4,69.9,145
AMS_20231101,Amsterdam,2023-11-01,Wednesday,57.5,74.2,150
GRO_20230609,Groningen,2023-06-09,Friday,58.3,68.2,145
UTR_20240306,Utrecht,2024-03-06,Wednesday,71.5,75.6,131
ROT_20230513,Rotterdam,2023-05-13,Saturday,54.0,62.0,148
MAA_20240123,Maastricht,2024-01-23,Tuesday,55.0,70.7,152
GRO_20230821,Groningen,2023-08-21,Monday,53.3,70.2,155
ROT_20230712,Rotterdam,2023-07-12,Wednesday,57.8,63.1,143
AMS_20240312,Amsterdam,2024-03-12,Tuesday,61.4,73.8,146
MAA_20230511,Maastricht,2023-05-11,Thursday,59.7,73.7,147
GRO_20231002,Groningen,2023-10-02,Monday,53.0,72.2,156
MAA_20230618,Maastricht,2023-06-18,Sunday,57.6,74.0,152
MAA_20231016,Maastricht,2023-10-16,Monday,56.4,75.3,153
ROT_20230505,Rotterdam,2023-05-05,Friday,55.4,59.4,143
UTR_20231109,Utrecht,2023-11-09,Thursday,69.9,73.9,132
MAA_20230822,Maastricht,2023-08-22,Tuesday,55.6,73.7,154
GRO_20240205,Groningen,2024-02-05,Monday,54.2,73.4,155
AMS_20231213,Amsterdam,2023-12-13,Wednesday,59.4,73.6,148
GRO_20230902,Groningen,2023-09-02,Saturday,52.2,70.9,156
AMS_20231229,Amsterdam,2023-12-29,Friday,58.2,76.9,152
AMS_20230708,Amsterdam,2023-07-08,Saturday,59.8,75.3,149
