Snail mass M (g),Height L (mm)
5.705035675,26.93594994
3.791964873,17.23107751
3.938877412,22.08381995
9.964658403,29.87609666
2.802330424,11.62251207
7.522200051,26.51331981
4.882437456,25.65440494
8.73029984,29.86207032
2.083761795,20.0893524
7.036300564,28.84371853
6.685497823,27.02784668
3.871228978,21.16338617
5.575000484,23.60620428
9.68509097,30.51579148
6.252991159,23.75027699
6.912935493,25.16919476
4.389696992,14.31932103
7.968890728,21.02927294
2.637455928,16.3262122
2.977293717,23.25528499
9.348951912,31.7071079
6.491146984,28.10113611
3.114849353,24.29327159
2.70938017,22.02515375
7.230956317,30.89514503
6.737878124,21.89888962
4.486021957,20.15937743
3.853131806,18.63853055
5.662458475,25.55308447
4.037161473,22.37557044
2.474104811,24.14143287
8.205062521,26.33653186
6.896275163,29.15190115
6.82876396,25.00131411
9.370503595,26.84001985
3.502274826,18.70838066
8.233755006,31.03872496
6.619487725,28.61553861
4.629960528,19.85540202
7.094940999,26.20592876
4.948342414,23.16522853
7.311289228,29.40488052
7.356925899,29.96913254
7.16577998,25.99783635
4.198051144,23.15520026
3.821466371,23.26973891
5.978419676,26.31455106
9.788298205,30.56243379
4.299717036,23.12980534
3.533211917,25.82768464
8.598097012,27.96896722
9.430062872,31.98975096
8.535392891,27.53995941
2.062591165,18.2026005
8.382075663,28.29879976
7.196788799,24.8913537
4.607983592,20.09313598
8.711552892,29.63994142
3.026172829,26.59476867
2.714986985,19.99684561
2.294348437,19.73947421
5.758215496,27.81595771
8.340426011,29.10771861
7.409554395,29.57473482
6.11148478,24.77745592
4.900587424,25.51166972
4.489944965,15.79855865
7.226438959,26.93870083
7.59858709,25.71549693
4.861827573,21.61136809
2.335516945,18.82105619
4.472058343,24.16319426
5.482085159,28.17117751
7.71335768,28.22871592
2.319721324,15.94839879
3.017134311,14.65908952
8.00500311,26.27033569
3.878665017,21.22376283
7.101137794,29.18086237
4.33621009,16.08978742
5.851653833,25.90666985
3.690796617,21.76546926
2.493368458,8.656300772
2.947454827,17.66823288
5.946647359,25.46243593
9.795423692,31.60563533
6.500232454,21.87381975
9.390626161,28.76352072
8.845640768,27.14936945
2.778711317,20.18357108
4.827770311,27.79182863
8.604902146,26.39302632
6.026376906,25.57395243
7.283006052,23.75228592
7.635824209,26.23498888
9.652048164,27.95791557
2.115114094,19.9074724
7.527289638,28.81218745
3.252581687,22.65060968
9.24941982,33.95823749
5.845433617,28.1036012
3.703201505,26.37787337
3.9269601,23.07660813
2.448957346,23.62901522
4.84509258,21.29028964
3.848304801,21.45729856
7.176209867,31.38819676
7.715808843,24.68975288
7.637993185,25.79432718
7.253501315,28.80671144
4.529546049,20.89248088
6.350521908,25.06681188
8.338051613,31.3910044
2.009585302,17.94258108
9.944628698,29.59393106
9.953509529,29.74810721
7.457513467,28.41584566
7.731754231,28.47651964
7.901402078,28.18745481
3.627312167,24.32905341
4.328750365,22.44287021
3.023571575,25.19950547
9.287521644,28.44198423
4.027993899,11.40115103
3.042119917,19.66576281
4.808078789,19.66144571
3.254886444,19.65409721
8.804748888,32.61654546
6.471585113,28.26958392
3.431947511,14.34562881
4.173398701,22.7476139
2.973681079,22.38525719
8.459547249,26.25651837
3.867433316,22.5704623
6.613998162,28.59592016
7.795647037,29.36805747
4.311113526,22.96772739
4.427447298,22.87788831
4.085779877,23.36531245
6.035004629,23.02404797
3.697151781,21.21975211
3.693265934,22.31117772
3.606691648,23.15368321
7.354438275,26.80787379
6.194668198,28.92567434
6.746653837,27.04603197
2.433147878,18.89215897
4.102141174,25.57244387
6.075769093,27.74565323
8.992212128,30.5989461
7.963638987,24.37052146
7.108155069,26.96765434
3.385789808,18.49731073
6.648003131,29.55447457
4.92021525,23.10383849
2.754259843,23.26135136
7.102670383,27.98285946
3.526220316,21.11440394
5.994485213,26.0271808
2.518641582,23.09482861
6.635485901,25.27269256
8.55981446,28.60033598
5.262794822,24.87130456
5.276276674,24.90303912
7.643770478,29.93513645
4.375454578,19.93485059
9.986884268,29.46345896
6.456463524,25.96746609
4.320505406,21.70081255
5.075975529,21.67780875
5.140495993,24.43729269
8.782346652,26.57224144
8.962684092,27.46233922
2.174446391,16.6733319
2.581842523,23.10048141
3.644846314,19.75188285
3.873843299,18.19437427
9.451947174,27.64193465
3.940665336,22.07312623
4.814995016,19.91830694
2.718000775,18.88167788
4.240001658,22.07267438
2.134565363,11.19200435
7.350461179,24.97246197
5.143546712,24.88284048
3.770037471,22.64327206
4.245639694,22.00165195
9.85145958,26.50930182
5.121294435,27.84477946
5.727455166,26.13326391
2.776595298,18.2809093
5.563400696,18.46982777
4.436005689,21.28325248
6.587744307,28.25975926
4.177695764,18.41104481
7.142234097,25.77745895
7.107799557,29.67733831
4.428041571,24.14428592
5.473609279,25.15741134
3.231906188,22.13153642
8.493230288,29.33203818
5.051822866,21.62186494
2.421362268,9.593793526
6.184943496,24.41264807
3.325762269,23.42972751
5.158818545,25.01017036
4.978312571,26.39372676
2.458707619,16.52165138
2.752331317,28.74617632
5.450721999,25.42932637
5.931147417,26.77021605
4.154171125,20.38841461
4.638439629,26.91642745
5.062740951,26.27520983
4.556995103,23.77720448
8.204538206,29.46951176
5.548579534,24.82227209
5.902786564,25.65983725
7.34695781,28.22830167
5.038471888,20.56897643
4.786638549,24.59598919
3.460096657,25.2394116
9.430163666,30.51148281
3.354771331,22.2061534
6.915429605,27.00949327
7.079791272,29.39503368
4.532907858,19.77846976
9.997625837,31.8959902
6.872970206,27.57305728
2.574071785,16.07501177
6.994871502,27.73619491
2.95335646,24.5664925
5.35635804,20.40177195
2.748455341,21.26882319
8.877439835,28.69033613
9.30741369,30.3234606
9.865184835,30.38546342
5.389284973,24.18958973
5.69628275,25.47866707
8.823458712,28.67200989
2.43911434,21.44034123
4.718808035,22.28498159
4.169960489,27.00415132
4.603322701,26.68338827
3.01525013,22.84853575
3.226375121,23.53115057
3.715374743,26.75338989
8.870333565,26.70246186
3.994295785,22.68371697
4.231785857,23.75603342
6.857148502,27.32108381
6.222645207,28.65362548
7.876229275,24.88140635
7.386405598,28.36567078
7.453564554,25.68359271
2.106583994,20.62941966
5.233781643,27.32513308
4.494458039,26.30259057
3.504373976,22.80981628
7.588532857,26.00271245
5.957734101,21.85135822
6.22109132,28.31098621
2.980242451,23.6393498
7.513001697,24.19527291
2.815376839,22.34457041
7.390357155,29.40423234
