Snail mass M (g),Height L (mm)
6.949614961,25.58119762
4.379386911,26.24073256
8.134073372,24.53084937
9.227604428,28.44640502
9.562558094,28.3625357
2.877962225,16.76613376
8.483692771,29.48172939
8.54716514,34.09896791
6.575915221,23.67249753
3.125986974,17.70165516
6.376472631,28.61324194
5.031218887,22.52509232
4.235598593,22.03992998
3.431947511,14.34562881
2.973681079,22.38525719
6.761086042,27.23692946
9.690874717,31.67492181
6.555738518,26.26648255
3.276222211,24.91044547
6.624689117,29.83872219
8.878263414,27.96364546
4.376600358,25.86857944
4.460217215,26.0375338
5.445226407,25.45129729
7.243051742,20.67058647
3.874434815,23.26380782
2.854295221,15.43152299
7.278177451,27.18123153
2.170136002,20.27818314
3.532962308,25.31450836
9.047003911,29.0400861
6.497198662,24.6543041
7.927197068,29.52061164
6.250941747,29.00247093
5.774608812,23.0334339
9.542463939,33.26568511
3.879877181,28.44971235
2.467562225,19.65356286
2.192189923,16.99242773
7.094940999,26.20592876
3.770831664,25.24788153
7.350560097,30.13894968
7.477355044,30.56295052
3.163690309,23.27050083
6.917429465,26.33940989
9.999454845,29.16056195
9.528846664,29.08999495
8.142567632,28.97052691
4.978312571,26.39372676
2.48944334,12.53016182
2.062273089,19.80375229
2.002506094,21.41168719
5.772295281,26.36139385
3.706272258,21.70588819
5.845433617,28.1036012
5.416829367,22.84542086
7.184079894,27.13000827
6.487942963,27.54617425
6.818230145,26.00133179
6.623699297,27.90137975
5.36631624,22.65722868
2.454324613,25.4487352
7.85586003,31.31342048
2.578599116,5.817636798
5.479893529,25.86947224
8.230930226,25.41410097
4.643726745,26.94782548
3.814187766,12.37760411
9.052939626,28.67394604
4.617714123,20.6593961
2.631965266,26.93353582
2.409725791,12.55435392
9.281173018,28.69941483
2.306455185,17.52958691
6.755601772,21.44934361
7.487773518,26.23732254
8.23934213,27.83448114
4.038622463,22.55428652
6.882002327,24.88130824
5.186865773,25.99777544
5.758215496,27.81595771
4.855299942,26.57962564
2.778212605,20.63889396
8.284473088,25.89835639
3.000134621,15.9462152
7.709852918,30.79103935
4.336419798,23.11439939
4.230129519,16.37028817
8.659876495,22.86371829
4.472951341,21.4062702
3.759819751,25.16682819
3.047880613,20.90670784
5.760029037,27.70657316
9.05826055,30.26801963
7.646836672,26.61948477
9.121999234,27.2101911
7.626352871,24.87479419
2.15520418,22.60266076
8.511832088,21.65121612
9.451947174,27.64193465
6.372659039,28.99044834
9.788298205,30.56243379
3.607834113,24.52048762
2.882529547,18.63202421
3.341201861,20.45949858
6.050758046,27.75419702
7.156660606,30.65982387
7.250492491,20.83739635
4.651514411,18.57983373
7.933057572,26.64103336
7.453564554,25.68359271
8.559321789,30.12058068
7.86101897,24.48745922
8.83954977,26.19981504
4.436574709,22.28330701
6.536396605,25.4289993
9.695535005,32.10250265
2.577634717,15.04824219
6.022905055,22.40558498
7.547181691,25.28702761
9.48570324,28.32712411
6.816107,25.60455721
6.714546652,26.25697721
6.222106936,22.10580486
7.292365075,29.92223677
2.601001624,20.31974031
2.38839196,15.95562601
6.327320242,28.31380735
7.681626304,26.07473864
3.455822871,26.18406678
4.028611519,21.10534987
6.471585113,28.26958392
3.880709178,19.69486417
7.743142976,26.36656554
5.062740951,26.27520983
4.680598712,24.74672137
7.440346287,29.16453851
5.130666954,26.36022085
2.217292792,20.58525389
6.421285832,24.81989686
8.03664546,25.13386409
3.586099437,17.41363031
3.791964873,17.23107751
2.316455549,11.01537275
2.791848254,25.70791397
7.702765718,24.8846599
6.451333929,27.0537796
2.865472201,19.44695794
5.502988741,24.54066255
9.390626161,28.76352072
9.370503595,26.84001985
4.430886541,22.99354118
7.716905518,28.94448408
6.587744307,28.25975926
7.036300564,28.84371853
3.126723845,20.95186084
5.599464076,24.60902183
9.469361554,31.90349044
9.944628698,29.59393106
9.121432042,31.51980898
