id,conc_pc,length_micron
1,1.5,1974.2
2,2.5,2216.1
3,2.0,2565.9
4,0.0,2222.6
5,0.0,2745.9
6,1.5,2612.4
7,1.5,2304.9
8,2.0,2192.4
9,2.5,2633.4
10,0.0,2189.6
11,1.5,2294.3
12,1.5,2779.5
13,1.5,3054.2
14,2.0,2290.7
15,0.0,2653.3
16,0.0,2652.6
17,2.0,2783.6
18,2.5,1993.1
19,2.0,1853.4
20,2.5,2083.6
21,2.0,2537.4
22,0.0,2174.7
23,1.5,2580.3
24,2.0,2035.0
25,2.0,1929.0
26,2.5,2121.3
27,0.0,2634.1
28,0.0,2212.4
29,2.5,2111.5
30,2.0,2152.9
31,0.0,2647.5
32,0.0,2261.7
33,0.0,2612.0
34,1.5,2523.7
35,2.5,2581.1
36,2.0,2149.1
37,0.0,2245.1
38,2.5,1911.3
39,0.0,1922.4
40,2.5,2598.4
41,2.0,2680.4
42,2.5,1911.3
43,2.0,2046.8
44,1.5,2402.9
45,2.0,2496.0
46,2.5,2438.0
47,2.5,1993.6
48,2.0,1920.8
49,1.5,2395.9
50,2.5,1795.8
51,2.5,1683.6
52,1.5,2723.7
53,2.5,2577.1
54,2.0,2283.9
55,2.5,1410.4
56,0.0,2150.0
57,2.0,1567.4
58,1.5,2218.7
59,2.5,2017.6
60,1.5,2581.1
61,0.0,2248.6
62,2.0,2465.4
63,0.0,2134.2
64,0.0,2908.2
65,0.0,1591.1
66,0.0,1908.3
67,2.5,1819.3
68,1.5,1898.3
69,2.0,2472.4
70,1.5,2440.2
71,0.0,2463.8
72,2.0,2660.0
73,2.5,2568.3
74,2.0,2228.0
75,2.0,2435.9
76,2.0,2160.0
77,2.0,2267.2
78,2.5,2348.2
79,0.0,2740.1
80,1.5,2042.6
81,1.5,2767.1
82,1.5,2562.4
83,2.0,2276.6
84,0.0,3038.8
85,2.5,2526.8
86,2.5,2079.0
87,2.0,2677.9
88,2.5,1654.8
89,0.0,2755.2
90,0.0,2023.6
91,0.0,1979.7
92,0.0,2475.8
93,0.0,2454.7
94,1.5,2534.7
95,1.5,2304.5
96,1.5,2457.9
97,2.0,2697.6
98,1.5,2649.2
99,1.5,2464.4
100,0.0,2258.5
101,2.0,1947.3
102,1.5,2212.3
103,2.0,2579.2
104,2.0,2199.1
105,2.5,2375.8
106,2.5,2616.3
107,0.0,2495.2
108,1.5,2080.9
109,2.0,2140.4
110,1.5,2562.3
111,1.5,2301.4
112,0.0,2256.2
113,2.0,2402.0
114,1.5,2239.2
115,1.5,2269.4
116,1.5,2745.4
117,0.0,2462.5
118,0.0,2841.1
119,0.0,2314.4
120,2.5,2192.1
121,0.0,2580.2
122,2.0,2082.3
123,2.0,2447.6
124,1.5,2142.0
125,0.0,2233.1
126,2.5,2206.4
127,0.0,2466.3
128,2.0,2343.5
129,0.0,2371.7
130,2.5,1888.9
131,0.0,2478.8
132,2.0,2385.8
133,2.0,2633.5
134,0.0,2484.2
135,2.5,1945.2
136,2.5,1844.9
137,1.5,1969.7
138,1.5,2487.0
139,2.0,2133.6
140,2.0,2043.5
141,2.5,2023.4
142,2.0,2552.8
143,0.0,3157.9
144,2.0,2016.5
145,2.0,2198.9
146,2.0,2489.8
147,0.0,2385.5
148,2.0,2691.5
149,1.5,2677.5
150,2.0,2567.7
151,0.0,2705.7
152,0.0,2246.8
153,2.0,2293.9
154,1.5,2645.3
155,0.0,2307.0
156,2.5,1933.2
157,1.5,2112.6
158,0.0,2373.3
159,1.5,2239.4
160,2.5,1620.7
161,2.5,2172.3
162,2.0,2384.3
163,2.0,2373.0
164,0.0,2763.5
165,2.0,2478.1
166,2.0,2302.1
167,1.5,2293.4
168,2.0,2202.9
169,2.0,2533.5
170,2.5,2439.8
171,1.5,2667.3
172,0.0,2404.0
173,1.5,2437.1
174,1.5,2175.8
175,2.0,2373.5
176,2.5,2373.0
177,2.0,2115.8
178,2.0,2038.2
179,0.0,2445.0
180,2.0,2432.1
181,1.5,2232.8
182,0.0,2418.5
183,2.0,2226.3
184,2.0,2504.2
185,0.0,2504.4
186,1.5,2165.1
187,0.0,3129.0
188,1.5,2126.0
189,1.5,2048.9
190,2.0,2168.6
191,0.0,2224.5
192,2.5,2222.4
193,1.5,2706.7
194,2.0,2679.5
195,2.5,2285.8
196,2.0,1905.3
197,2.0,2660.7
198,2.0,2460.2
199,2.0,2260.2
200,0.0,2426.5
201,2.5,2035.3
202,2.0,2400.3
203,2.0,2219.6
204,2.5,2269.0
205,1.5,2652.3
206,1.5,2390.1
207,1.5,2319.8
208,2.0,2342.2
209,0.0,2333.5
210,1.5,1964.3
211,2.0,2318.4
212,1.5,1837.3
213,2.5,2639.4
214,2.5,1451.3
215,2.5,2360.5
216,2.0,2559.9
217,2.0,2459.7
218,1.5,2622.4
219,2.5,2213.4
220,2.0,2644.0
221,2.0,2737.1
222,2.0,2565.0
223,2.0,2601.2
224,2.5,2858.3
225,1.5,2296.8
226,2.5,2058.9
227,0.0,2292.2
228,2.0,2260.4
229,2.5,2388.6
230,2.0,2108.8
231,1.5,2388.1
232,2.5,1927.1
233,2.0,2417.4
234,1.5,2468.1
235,2.5,2316.3
236,1.5,2136.9
237,2.5,2131.6
238,1.5,2604.5
239,0.0,2667.9
240,1.5,2449.7
241,2.0,2243.5
242,0.0,2522.4
243,1.5,2102.5
244,0.0,2597.1
245,0.0,2287.1
246,2.5,2203.5
247,1.5,2267.4
248,2.0,2403.4
249,0.0,2129.1
250,1.5,2495.9
251,0.0,2842.7
252,2.0,2222.1
253,2.5,2459.7
254,0.0,2728.2
255,2.0,2169.2
256,0.0,2678.2
257,1.5,2435.4
258,1.5,2428.8
259,2.0,2380.6
260,1.5,2491.4
261,2.5,2424.0
262,1.5,2198.8
263,0.0,2385.6
264,2.0,2466.6
265,2.0,2034.2
266,2.5,2058.9
267,0.0,2593.7
268,2.0,2174.4
269,1.5,2287.0
270,1.5,2682.3
271,2.0,2369.1
272,2.0,2477.0
273,2.5,1873.3
274,1.5,2666.1
275,2.0,2232.3
276,2.5,1950.8
277,2.5,1744.3
278,1.5,1829.2
279,1.5,2347.6
280,2.0,2388.5
281,1.5,2589.4
282,1.5,2112.4
283,2.5,2354.3
284,2.0,1951.1
285,1.5,2429.1
286,0.0,2851.1
287,2.5,2116.2
288,2.0,2544.0
289,1.5,2544.7
290,2.0,2017.0
291,1.5,1934.5
292,2.0,2456.8
293,0.0,2084.7
294,2.0,2123.5
295,2.0,2317.6
296,0.0,2503.6
297,2.5,1918.6
298,1.5,2213.2
299,2.5,1812.8
300,0.0,2795.2
301,2.0,2264.1
302,2.5,2339.3
303,1.5,2515.9
304,1.5,2683.9
305,2.5,2406.2
306,2.0,2474.5
307,0.0,3071.0
308,1.5,1878.1
309,1.5,2417.5
310,2.0,2486.6
311,2.0,2556.8
312,2.0,1808.7
313,1.5,2264.1
314,0.0,2171.0
315,0.0,2404.7
316,1.5,2657.5
317,2.0,2324.1
318,1.5,2603.8
319,2.5,2212.3
320,2.0,2323.9
321,1.5,2369.9
322,2.0,2192.6
323,2.0,2404.4
324,0.0,2714.1
325,2.5,2337.2
326,2.0,2243.4
327,0.0,2817.3
328,1.5,2715.7
329,0.0,1991.1
330,0.0,2688.3
331,0.0,2671.3
332,0.0,2504.4
333,2.5,1817.8
334,2.5,2165.0
335,0.0,2373.5
336,0.0,2070.8
337,1.5,2346.2
338,2.0,2172.4
339,0.0,2596.2
340,0.0,2533.6
341,2.0,2472.8
342,0.0,2174.2
343,1.5,2780.9
344,0.0,2510.0
345,1.5,2844.4
346,2.5,2038.6
347,0.0,2394.6
348,1.5,2255.8
349,2.0,1901.0
350,2.0,2277.5
351,2.0,2223.3
352,2.0,1901.7
353,2.5,2056.8
354,2.0,2970.6
355,2.0,2163.2
356,1.5,2976.1
357,2.5,2202.5
358,0.0,2793.6
359,2.0,2154.2
360,2.5,2208.1
361,1.5,2066.2
362,1.5,2117.2
363,0.0,1979.1
364,2.5,2164.9
365,1.5,2213.7
366,1.5,2593.8
367,2.5,2237.5
368,2.0,2153.2
369,0.0,2562.4
370,0.0,2177.5
371,2.5,1274.8
372,2.5,2214.0
373,2.0,2232.2
374,2.5,2575.0
375,0.0,2388.4
376,2.0,2295.6
377,2.5,2389.1
378,2.5,2197.0
379,2.0,2718.5
380,2.0,2479.6
381,0.0,2536.2
382,1.5,2711.3
383,2.5,2336.0
384,1.5,2483.5
385,0.0,2832.7
386,2.5,1845.3
387,2.5,2300.0
388,2.0,2629.0
389,2.5,2548.4
390,1.5,2244.7
391,2.0,2558.7
392,0.0,2414.7
393,1.5,2273.3
394,1.5,2302.9
395,2.5,2207.7
396,0.0,2367.5
397,2.5,2131.0
398,0.0,2365.4
399,2.5,2158.6
400,2.0,2361.6
401,0.0,3062.6
402,2.5,1950.0
403,2.5,2503.6
404,0.0,2528.9
405,2.5,1742.5
406,2.5,2050.4
407,2.0,2150.8
408,2.0,2398.6
409,1.5,2402.8
410,2.5,2549.7
411,2.0,2419.6
412,2.0,2335.5
413,0.0,2646.7
414,2.0,2439.3
415,0.0,2162.7
416,0.0,2617.1
417,0.0,2442.3
418,0.0,2723.5
419,1.5,2507.1
420,1.5,1868.7
421,1.5,2895.6
422,0.0,2288.2
423,1.5,2379.4
424,2.5,2469.6
425,2.5,2320.4
426,2.5,2013.7
427,0.0,2500.4
428,2.0,2180.4
429,2.5,2133.5
430,1.5,2437.7
431,2.5,2692.5
432,2.5,1950.2
433,0.0,2626.7
434,0.0,2380.1
435,2.0,2148.3
436,1.5,2042.9
437,0.0,2025.7
438,1.5,2018.9
439,1.5,2318.4
440,2.5,2045.2
441,0.0,1809.2
442,0.0,2475.2
443,2.5,2172.0
444,2.5,2156.3
445,2.5,1904.1
446,0.0,2556.4
447,2.5,2577.9
448,2.0,2269.0
449,2.5,2013.1
450,1.5,2121.1
451,0.0,2608.3
452,0.0,2442.3
453,0.0,2494.8
454,2.0,2174.3
455,1.5,2975.6
456,0.0,2201.0
457,0.0,2571.4
458,2.5,2128.2
459,0.0,2423.5
460,2.5,2387.3
461,1.5,2404.0
462,0.0,2199.1
463,1.5,2376.6
464,2.5,1233.3
465,2.0,2127.1
466,2.5,1718.4
467,2.5,2001.0
468,0.0,2302.0
469,1.5,2990.0
470,0.0,2153.4
471,1.5,2222.2
472,2.0,2101.4
473,2.5,2470.0
474,2.0,2415.1
475,0.0,2510.0
476,2.5,2758.9
477,1.5,2328.4
478,1.5,2374.7
479,1.5,2158.2
480,0.0,2420.2
481,2.5,2291.1
482,2.5,2017.5
483,2.5,2290.6
484,0.0,2715.4
485,2.5,1982.9
486,2.5,2087.3
487,0.0,2341.6
488,2.5,2137.7
489,2.0,2448.6
490,2.5,2365.9
491,2.0,2355.2
492,1.5,3123.1
493,1.5,2502.3
494,0.0,2513.9
495,1.5,2507.3
496,2.0,2690.7
497,0.0,2629.6
498,1.5,2402.1
499,2.0,2445.7
500,0.0,2724.7
501,1.5,2421.9
502,2.5,2532.6
503,2.5,2317.5
