id,conc_pc,length_micron
1648,2.0,2978.1
1093,2.0,2279.0
2717,2.0,2553.6
3939,2.5,2106.3
305,2.5,2406.2
1657,2.5,2598.1
1675,2.0,2438.4
1354,0.0,2339.4
1590,2.0,2261.2
23,1.5,2580.3
2535,2.0,2641.9
1716,1.5,2416.1
540,2.5,1532.2
1522,2.5,2834.9
527,1.5,2700.9
2582,0.0,2085.4
1986,0.0,2093.8
3833,2.0,2088.9
341,2.0,2472.8
3364,0.0,2817.5
3684,1.5,2855.8
1021,0.0,2814.9
3891,2.0,2412.3
3381,0.0,2805.1
289,1.5,2544.7
445,2.5,1904.1
2853,0.0,2688.6
3586,2.0,2618.6
2180,2.0,2294.3
3886,0.0,2330.7
2427,2.5,2417.9
2144,2.0,1732.9
740,0.0,2194.4
1937,2.5,2009.8
347,0.0,2394.6
3484,1.5,2910.0
2374,2.5,2129.3
139,2.0,2133.6
33,0.0,2612.0
1460,2.0,2472.3
109,2.0,2140.4
1955,2.0,2416.1
3142,2.0,2086.0
2134,0.0,2065.9
3380,2.5,1957.5
3302,0.0,1827.3
2062,0.0,1803.3
1737,2.5,1747.7
731,2.5,1833.7
3173,2.0,2594.9
2522,2.5,1935.3
2713,0.0,2665.9
2876,2.0,2747.0
126,2.5,2206.4
2029,2.0,2108.5
3160,2.0,2411.9
2401,1.5,2170.1
2671,2.5,2381.2
435,2.0,2148.3
3280,2.5,2199.1
465,2.0,2127.1
2688,2.5,2506.8
2207,2.0,2317.2
784,2.0,2010.7
1291,2.0,2664.3
3397,2.0,2345.5
803,1.5,2372.2
2186,0.0,2510.5
214,2.5,1451.3
3015,2.0,2725.9
2870,2.0,2208.8
453,0.0,2494.8
1450,2.5,1980.7
1718,2.0,2446.4
3074,2.5,1848.2
1780,0.0,3032.9
2855,1.5,2630.7
3238,2.5,2334.4
2266,2.0,2240.0
1067,2.0,2530.0
1927,2.5,2128.9
541,0.0,2422.0
3056,2.0,2182.0
3646,2.5,1794.2
2097,1.5,2170.3
2658,2.0,2434.5
518,2.0,2131.1
426,2.5,2013.7
2189,2.0,2040.8
362,1.5,2117.2
1161,0.0,2348.1
2297,1.5,2690.7
2519,2.0,2315.1
371,2.5,1274.8
3026,2.0,2320.6
1482,2.5,2109.4
3567,2.0,1822.2
709,1.5,2313.8
3537,2.0,2082.4
2786,2.5,2128.7
485,2.5,1982.9
2385,0.0,2205.3
2319,2.0,1964.2
888,1.5,2416.7
2065,2.5,2359.8
91,0.0,1979.7
3535,1.5,2718.8
3244,2.5,1836.7
633,2.5,2168.5
1558,0.0,2300.8
3370,2.0,1997.6
369,0.0,2562.4
29,2.5,2111.5
284,2.0,1951.1
269,1.5,2287.0
3107,1.5,2372.7
203,2.0,2219.6
691,0.0,1802.7
941,1.5,2388.3
873,2.5,2363.5
2543,1.5,2039.2
443,2.5,2172.0
2810,2.0,2253.8
523,2.0,1840.0
3595,0.0,2320.9
3748,0.0,2674.5
3352,2.0,2669.8
154,1.5,2645.3
10,0.0,2189.6
3721,2.5,2426.4
1374,1.5,2412.1
312,2.0,1808.7
1192,2.5,2141.0
3269,0.0,2484.3
2963,2.0,2242.4
2669,0.0,2490.5
385,0.0,2832.7
760,2.5,1707.0
670,1.5,2272.7
2290,0.0,2837.1
3625,0.0,2629.7
3134,2.5,2680.4
3640,2.5,1487.6
384,1.5,2483.5
557,1.5,2341.6
160,2.5,1620.7
901,2.5,2614.8
632,2.0,2267.7
3941,2.5,2274.9
3326,2.0,2205.6
2708,2.0,2055.8
988,1.5,2251.7
1909,0.0,2350.7
3411,2.5,2005.5
3917,0.0,2942.2
1968,2.0,2361.6
977,0.0,2361.3
1099,0.0,2256.0
2391,2.0,2736.8
1366,0.0,2473.0
