Order,Family,Genus,Species,Binomial,ActivityCycle,AdultBodyMass_g,AdultForearmLen_mm,AdultHeadBodyLen_mm,AgeatEyeOpening_d,AgeatFirstBirth_d,BasalMetRate_mLO2hr,BasalMetRateMass_g,DietBreadth,DispersalAge_d,GestationLen_d,HabitatBreadth,HomeRange_km2,HomeRange_Indiv_km2,InterbirthInterval_d,LitterSize,LittersPerYear,MaxLongevity_m,NeonateBodyMass_g,NeonateHeadBodyLen_mm,PopulationDensity_n/km2,PopulationGrpSize,SexualMaturityAge_d,SocialGrpSize,TeatNumber,Terrestriality,TrophicLevel,WeaningAge_d,WeaningBodyMass_g,WeaningHeadBodyLen_mm,Unnamed: 35,AdultBodyMass_g_EXT,LittersPerYear_EXT,NeonateBodyMass_g_EXT,WeaningBodyMass_g_EXT,GR_Area_km2,GR_MaxLat_dd,GR_MinLat_dd,GR_MidRangeLat_dd,GR_MaxLong_dd,GR_MinLong_dd,GR_MidRangeLong_dd,HuPopDen_Min_n/km2,HuPopDen_Mean_n/km2,HuPopDen_5p_n/km2,HuPopDen_Change,Precip_Mean_mm,Temp_Mean_01degC,AET_Mean_mm,PET_Mean_mm
Rodentia,Spalacidae,Tachyoryctes,ankoliae,Tachyoryctes ankoliae,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999.0,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,7394.18,-0.06,-0.9,-0.48,30.99,30.13,30.56,73,136.74,73.0,0.16,78.5,203.0,1283.0,1444.5
Artiodactyla,Bovidae,Bos,taurus,Bos taurus,-999,618642.42,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,280.48,-999,10.04,-999.0,-999.0,-999.0,1.0,240.0,-999.0,-999.0,-999.0,-999.0,755.15,-999.0,-999,-999,-999,-999.0,-999.0,-999,543;1052;1577;1594;1758;1848;2655,-999.0,-999.0,-999.0,-999.0,44447.62,15.08,11.85,13.46,108.99,107.08,108.04,2,42.48,3.0,0.15,174.94,228.73,1193.98,1450.23
Cetacea,Delphinidae,Delphinus,delphis,Delphinus delphis,-999,79271.69,-999.0,2439.99,-999.0,-999.0,-999.0,-999.0,-999,-999.0,296.89,1,-999.0,-999.0,-999.0,0.98,-999.0,240.0,7069.65,-999.0,-999.0,365.0,1473.2,-999.0,-999,-999,-999,405.05,39999.99,-999,56;93;511;543;1217;1297;1577;2151;2655,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Echimyidae,Mesomys,leniceps,Mesomys leniceps,1,108.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,2,-999,-999.0,-999.0,-999,2151;2655,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Geomyidae,Thomomys,idahoensis,Thomomys idahoensis,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3,-999.0,-999.0,2,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,1,-999.0,-999.0,-999,2151,-999.0,-999.0,-999.0,-999.0,98042.23,46.73,42.1,44.41,-109.52,-115.7,-112.61,0,3.34,0.0,0.06,32.99,31.3,370.55,748.37
Didelphimorphia,Didelphidae,Didelphis,marsupialis,Didelphis marsupialis,1,1134.75,-999.0,402.7,-999.0,182.5,611.34,1329.0,3,-999.0,14.0,2,0.17,0.14,110.0,7.09,2.0,32.4,0.16,-999.0,70.5,-999.0,200.88,1.0,13,2,2,92.47,95.91,-999,256;730;889;905;955;1297;1412;1573;1760;1773;1876;2151;2159;2225;2431;2655;2761,-999.0,-999.0,-999.0,-999.0,7324303.06,23.89,-18.3,2.79,-44.35,-98.86,-71.61,0,19.71,0.0,0.13,175.63,248.26,1421.55,1599.94
Cetacea,Delphinidae,Stenella,longirostris,Stenella longirostris,2,50500.0,-999.0,2130.0,-999.0,-999.0,-999.0,-999.0,2,-999.0,322.41,1,-999.0,-999.0,790.22,0.97,-999.0,-999.0,-999.0,-999.0,-999.0,190.5,2458.56,-999.0,-999,-999,3,465.88,-999.0,-999,56;93;171;172;890;1217;1297;2151;2655,-999.0,0.74,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
Rodentia,Heteromyidae,Microdipodops,megacephalus,Microdipodops megacephalus,1,12.3,-999.0,72.99,-999.0,-999.0,30.82,11.0,2,-999.0,-999.0,2,0.004385806,0.004699803,-999.0,3.94,-999.0,65.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,2,-999.0,-999.0,-999,543;808;1214;1215;1297;1514;1822;2162;2655,-999.0,-999.0,-999.0,-999.0,226286.76,44.5,37.13,40.82,-112.42,-121.11,-116.76,0,1.8,0.0,0.06,21.26,71.85,273.63,883.72
Artiodactyla,Bovidae,Cephalophus,adersi,Cephalophus adersi,-999,9249.95,-999.0,690.0,-999.0,-999.0,-999.0,-999.0,4,-999.0,120.0,1,-999.0,-999.0,-999.0,1.0,-999.0,48.96,-999.0,-999.0,3.65,1.5,-999.0,-999.0,4,1,1,-999.0,-999.0,-999,511;869;899;1525;1848;2655;2693;3046,-999.0,-999.0,-999.0,-999.0,3824.3,-3.09,-6.47,-4.78,40.13,39.18,39.65,39,187.17,39.0,0.19,71.5,256.5,1011.99,1963.94
Carnivora,Mustelidae,Pteronura,brasiliensis,Pteronura brasiliensis,3,26000.0,-999.0,1137.99,28.0,-999.0,-999.0,-999.0,1,-999.0,70.0,2,85.85,102.65,365.0,2.12,-999.0,154.0,204.25,-999.0,-999.0,-999.0,-999.0,-999.0,-999,1,3,120.48,-999.0,-999,543;1113;1297;2151;2655;2986,-999.0,1.1,-999.0,-999.0,8075624.21,9.69,-26.74,-8.52,-35.95,-78.09,-57.02,0,6.27,0.0,0.13,162.68,245.44,1346.17,1535.73
