SampleID,Location,DateTime,DayOfWeek,Temperature,Moisture,Viable counts
ROT_20231118,Rotterdam,2023-11-18,Saturday,58.9,62.3,140
UTR_20240302,Utrecht,2024-03-02,Saturday,66.7,74.7,137
ROT_20240317,Rotterdam,2024-03-17,Sunday,59.3,63.3,139
AMS_20231122,Amsterdam,2023-11-22,Wednesday,61.5,70.6,143
MAA_20230715,Maastricht,2023-07-15,Saturday,55.3,74.2,154
MAA_20230711,Maastricht,2023-07-11,Tuesday,58.4,74.1,149
UTR_20231117,Utrecht,2023-11-17,Friday,69.4,76.3,135
AMS_20240319,Amsterdam,2024-03-19,Tuesday,52.3,77.0,160
GRO_20230715,Groningen,2023-07-15,Saturday,54.9,67.6,150
UTR_20230830,Utrecht,2023-08-30,Wednesday,68.2,76.9,137
AMS_20240401,Amsterdam,2024-04-01,Monday,60.0,68.9,144
GRO_20240216,Groningen,2024-02-16,Friday,50.4,71.2,159
GRO_20230412,Groningen,2023-04-12,Wednesday,55.1,71.0,153
GRO_20240203,Groningen,2024-02-03,Saturday,54.2,71.5,153
UTR_20240205,Utrecht,2024-02-05,Monday,70.9,75.2,132
MAA_20230807,Maastricht,2023-08-07,Monday,56.4,71.5,151
ROT_20230712,Rotterdam,2023-07-12,Wednesday,57.8,63.1,143
GRO_20240108,Groningen,2024-01-08,Monday,57.4,68.4,147
GRO_20240105,Groningen,2024-01-05,Friday,53.8,69.1,152
AMS_20231019,Amsterdam,2023-10-19,Thursday,61.7,73.2,143
AMS_20230923,Amsterdam,2023-09-23,Saturday,58.1,75.2,151
GRO_20231019,Groningen,2023-10-19,Thursday,59.0,70.3,146
ROT_20240304,Rotterdam,2024-03-04,Monday,56.3,67.0,148
AMS_20231001,Amsterdam,2023-10-01,Sunday,57.7,77.1,153
ROT_20231017,Rotterdam,2023-10-17,Tuesday,58.0,64.4,143
ROT_20230730,Rotterdam,2023-07-30,Sunday,57.9,65.6,144
GRO_20240129,Groningen,2024-01-29,Monday,55.3,70.4,151
ROT_20230608,Rotterdam,2023-06-08,Thursday,57.7,62.2,142
AMS_20230924,Amsterdam,2023-09-24,Sunday,59.3,71.4,146
UTR_20231218,Utrecht,2023-12-18,Monday,71.2,75.9,132
MAA_20240118,Maastricht,2024-01-18,Thursday,55.6,71.8,152
ROT_20240302,Rotterdam,2024-03-02,Saturday,54.7,63.7,147
MAA_20230629,Maastricht,2023-06-29,Thursday,55.4,70.5,152
AMS_20231226,Amsterdam,2023-12-26,Tuesday,56.2,74.3,153
ROT_20231120,Rotterdam,2023-11-20,Monday,53.1,59.0,146
AMS_20230527,Amsterdam,2023-05-27,Saturday,56.2,73.1,152
GRO_20231206,Groningen,2023-12-06,Wednesday,50.7,69.8,158
GRO_20230520,Groningen,2023-05-20,Saturday,58.3,68.2,145
GRO_20230606,Groningen,2023-06-06,Tuesday,57.8,69.0,147
GRO_20230425,Groningen,2023-04-25,Tuesday,55.7,68.8,150
UTR_20230617,Utrecht,2023-06-17,Saturday,66.8,79.2,142
AMS_20231104,Amsterdam,2023-11-04,Saturday,55.8,79.9,158
AMS_20230411,Amsterdam,2023-04-11,Tuesday,58.0,72.6,150
AMS_20230808,Amsterdam,2023-08-08,Tuesday,56.8,72.9,151
GRO_20230707,Groningen,2023-07-07,Friday,54.6,72.8,154
UTR_20230601,Utrecht,2023-06-01,Thursday,68.1,72.7,134
ROT_20231008,Rotterdam,2023-10-08,Sunday,56.1,64.7,146
AMS_20231009,Amsterdam,2023-10-09,Monday,53.6,75.2,158
MAA_20230917,Maastricht,2023-09-17,Sunday,56.2,70.3,150
ROT_20240115,Rotterdam,2024-01-15,Monday,58.0,62.6,141
MAA_20230604,Maastricht,2023-06-04,Sunday,57.1,71.6,149
GRO_20230731,Groningen,2023-07-31,Monday,57.3,67.8,145
MAA_20240228,Maastricht,2024-02-28,Wednesday,57.1,69.1,148
UTR_20230621,Utrecht,2023-06-21,Wednesday,68.3,75.6,136
AMS_20240314,Amsterdam,2024-03-14,Thursday,59.3,71.6,147
AMS_20231005,Amsterdam,2023-10-05,Thursday,57.3,77.1,153
UTR_20230730,Utrecht,2023-07-30,Sunday,71.7,75.2,131
MAA_20240305,Maastricht,2024-03-05,Tuesday,60.4,71.8,145
UTR_20230905,Utrecht,2023-09-05,Tuesday,69.4,77.1,135
GRO_20231219,Groningen,2023-12-19,Tuesday,54.2,69.0,152
GRO_20231112,Groningen,2023-11-12,Sunday,53.5,66.4,151
GRO_20230617,Groningen,2023-06-17,Saturday,58.1,67.2,145
AMS_20230524,Amsterdam,2023-05-24,Wednesday,59.6,77.0,150
UTR_20230514,Utrecht,2023-05-14,Sunday,70.1,75.7,133
GRO_20240317,Groningen,2024-03-17,Sunday,55.4,69.4,150
UTR_20230503,Utrecht,2023-05-03,Wednesday,74.0,81.9,133
MAA_20230405,Maastricht,2023-04-05,Wednesday,57.5,74.8,152
MAA_20230521,Maastricht,2023-05-21,Sunday,60.8,72.9,146
MAA_20230620,Maastricht,2023-06-20,Tuesday,53.9,73.3,157
AMS_20230925,Amsterdam,2023-09-25,Monday,55.6,73.4,153
ROT_20231130,Rotterdam,2023-11-30,Thursday,55.5,62.9,145
MAA_20240212,Maastricht,2024-02-12,Monday,58.5,72.1,148
GRO_20230812,Groningen,2023-08-12,Saturday,53.3,70.6,154
UTR_20231018,Utrecht,2023-10-18,Wednesday,71.8,74.6,130
ROT_20230805,Rotterdam,2023-08-05,Saturday,55.9,62.7,145
MAA_20231020,Maastricht,2023-10-20,Friday,58.1,74.5,150
ROT_20240120,Rotterdam,2024-01-20,Saturday,57.8,60.9,140
MAA_20230518,Maastricht,2023-05-18,Thursday,56.7,71.5,149
AMS_20230614,Amsterdam,2023-06-14,Wednesday,57.0,76.9,154
MAA_20231024,Maastricht,2023-10-24,Tuesday,57.3,74.0,152
MAA_20230820,Maastricht,2023-08-20,Sunday,58.6,72.4,148
ROT_20230916,Rotterdam,2023-09-16,Saturday,56.2,61.6,142
GRO_20230513,Groningen,2023-05-13,Saturday,52.8,73.9,157
ROT_20231230,Rotterdam,2023-12-30,Saturday,60.9,60.4,134
UTR_20230918,Utrecht,2023-09-18,Monday,68.8,76.0,137
ROT_20230429,Rotterdam,2023-04-29,Saturday,54.8,62.4,145
ROT_20231018,Rotterdam,2023-10-18,Wednesday,56.2,63.6,145
