group,ph,temperature,activity
6,9,20,0.0288
6,7,20,0.0449
3,9,20,0.0247
10,9,20,0.0305
10,5,40,
2,5,40,0.0305
5,5,40,0.0337
5,7,20,0.0425
8,9,40,0.0593
9,5,20,0.0585
2,5,20,ERROR
6,9,30,0.0427
6,9,40,0.0503
6,7,30,0.0413
1,5,20,0.0605
3,5,40,0.0286
7,5,30,0.0374
5,5,20,0.0553
2,7,20,0.0495
9,7,30,0.0513
6,5,20,0.043
7,9,30,0.0434
1,9,20,0.0307
10,5,30,0.0292
1,7,20,-1
7,7,40,ERROR
9,9,30,0.0474
5,5,30,0.0394
8,5,40,0.0315
7,5,30,0.0456
10,5,20,0.062
7,7,20,ERROR
4,7,40,0.04
10,5,20,0.0552
9,9,20,0.0254
8,9,30,0.0402
1,7,30,0.0423
8,5,30,0.0342
1,5,30,0.0428
4,5,20,0.0639
5,9,30,0.0384
5,7,40,0.0538
9,9,40,0.0561
10,7,40,-1
1,9,30,0.0504
4,5,40,0.0355
6,9,40,0.0532
1,5,30,0.0391
9,5,30,0.0332
7,7,40,0.0451
6,7,40,0.0441
3,9,30,0.0415
6,5,40,0.0357
9,5,30,0.0325
2,9,30,0.0509
10,5,20,0.0581
6,5,40,0.0338
3,7,40,0.0418
5,7,30,0.042
1,9,20,0.0305
6,7,20,0.043
6,7,30,0.0395
2,7,40,0.0408
6,9,20,0.0273
2,5,20,0.0659
7,5,30,0.0425
3,7,40,0.0436
7,9,40,0.0569
4,9,30,0.0466
2,7,30,ERROR
6,7,20,0.0422
6,5,30,0.038
10,9,30,0.0389
5,7,40,0.0504
5,5,20,0.0491
7,5,30,0.0423
10,9,30,0.0537
1,9,40,0.0534
4,7,40,
2,9,20,0.0328
2,5,40,0.034
5,9,40,0.057
8,5,20,0.0599
7,7,40,0.0395
5,9,30,0.043
5,7,20,0.048
8,5,20,ERROR
10,7,20,
8,7,20,0.0463
7,9,20,0.0305
3,9,30,0.0449
3,5,40,0.0357
8,7,20,0.0426
2,7,40,0.0481
1,7,40,0.0458
2,9,20,0.0263
5,9,30,
3,7,20,0.0476
4,7,30,0.0507
4,9,20,0.0356
1,5,20,0.0468
8,5,20,0.0635
3,7,40,0.0393
1,9,30,0.0408
8,7,20,0.0423
8,9,30,0.0379
10,9,30,0.0463
6,5,30,0.0322
1,9,30,0.0416
3,7,20,0.0457
10,5,20,ERROR
5,9,20,0.0309
5,7,20,0.0465
8,9,20,0.0317
10,9,40,0.0562
10,9,20,0.0313
2,9,40,0.055
2,5,40,0.0303
5,5,20,
1,5,30,0.0401
4,9,20,0.0302
2,9,30,0.0477
4,5,20,0.0633
3,9,20,0.0306
8,9,30,0.0417
3,7,20,0.0419
9,9,40,0.0543
10,7,30,0.04
7,7,30,-1
2,7,30,ERROR
5,9,40,0.0582
6,9,40,0.0525
7,5,40,-1
5,7,20,0.043
4,9,40,0.0535
4,5,40,0.0353
4,9,20,0.0309
6,7,40,0.0425
