group,ph,temperature,activity
5,5,20,
10,5,30,0.0326
2,9,40,0.0601
5,9,40,0.057
1,5,40,0.0335
2,9,30,0.0398
10,7,20,0.0587
6,5,40,0.0327
6,9,20,0.0288
7,9,30,0.0453
10,9,40,-1
2,5,40,0.0351
10,5,20,0.0581
4,5,40,0.0284
6,9,40,0.052
2,5,20,0.0659
7,7,40,0.0451
6,9,30,0.042
1,7,30,0.0412
7,5,40,0.0351
6,5,40,0.0338
2,9,30,0.0509
2,9,30,0.0477
3,9,40,0.0491
9,9,20,0.0254
7,9,30,0.0434
4,5,30,0.0372
10,5,30,0.0459
4,7,30,ERROR
5,5,30,0.0357
9,5,20,0.0489
3,9,30,0.0379
3,9,20,0.0302
6,9,30,0.0427
5,5,40,0.0279
7,7,40,0.0512
10,7,30,0.0522
1,9,30,0.047
9,9,30,ERROR
1,9,20,0.0305
8,5,40,0.0312
4,7,40,0.0446
3,5,30,0.0338
2,9,40,0.065
9,7,40,0.044
8,5,30,0.0321
1,5,40,0.0308
10,9,20,0.0288
5,5,20,0.0553
4,9,30,
2,9,20,0.0338
2,7,20,0.0495
6,7,40,0.0441
5,9,40,ERROR
1,9,30,0.0504
9,5,20,0.0499
9,9,20,0.0352
10,7,40,0.0427
6,9,20,-1
8,9,20,0.0287
9,9,30,0.0422
2,9,20,0.0237
9,5,40,0.0337
2,7,40,0.0481
8,9,30,0.0421
6,7,30,0.0395
6,5,20,0.0559
1,5,40,0.0335
10,7,30,0.04
2,9,20,0.0263
4,7,40,-1
10,5,20,0.0552
3,5,20,ERROR
8,7,30,0.044
10,5,30,0.0292
2,7,20,ERROR
6,9,20,0.0303
3,7,20,0.0476
5,7,30,0.0357
9,7,20,ERROR
7,7,20,
7,7,30,-1
5,9,20,0.03
1,5,30,0.0411
1,7,30,0.037
7,5,20,-1
10,9,20,0.0305
10,5,40,
8,7,30,0.0456
7,7,40,ERROR
5,7,40,0.047
9,5,30,0.0332
6,7,20,0.0401
3,9,40,0.0633
8,7,40,0.0501
6,7,40,0.0506
10,7,40,-1
2,5,40,0.0284
5,9,30,
4,9,40,0.0535
5,7,20,0.048
7,5,30,0.0456
9,7,20,
2,7,30,0.048
4,7,20,0.0456
4,7,20,0.0401
10,9,40,ERROR
5,7,40,0.0538
2,7,40,0.0408
7,9,40,0.0569
3,7,20,0.0378
8,5,40,0.0324
5,9,40,0.0529
1,5,40,0.0339
7,9,40,0.0592
10,9,40,0.0621
5,5,20,0.0563
8,5,20,0.0599
1,7,40,0.0458
7,5,40,0.036
1,9,20,-1
8,9,30,0.0402
9,7,40,0.0473
5,5,40,0.0323
6,5,40,0.0346
2,5,40,0.0303
6,5,30,0.0392
3,7,30,0.044
2,9,40,0.064
5,7,20,0.0425
2,7,40,0.0521
2,7,20,0.0413
9,7,30,
4,5,30,0.0373
2,5,30,0.0389
4,5,40,0.0353
6,9,40,0.0448
5,5,40,0.0285
10,9,30,0.0537
3,5,40,0.0286
7,5,30,0.0425
5,9,30,0.0418
6,5,40,0.0392
1,5,30,0.0428
10,9,30,0.0395
4,5,40,0.0311
5,9,30,0.0384
9,9,40,0.0558
1,7,20,0.0462
6,5,20,0.043
8,5,40,0.0317
2,5,30,0.0368
10,9,40,0.0562
