x,y
4.712692266845463962e+01,1.180110201760026257e+03
4.977234500618798307e+01,8.695152009683090455e+02
3.830370625747470825e+01,6.313043495729396000e+02
3.482296673902462913e+01,5.713982777133498985e+02
2.863026481189568884e+01,4.020150711473301612e+02
2.293061505079523599e+01,3.101292006474440655e+02
2.338827092334007318e+01,2.281349963526976126e+02
1.786085424414310197e+01,1.753494997258133878e+02
2.022488998750958089e+01,1.159141786005137789e+02
1.815398527918010174e+01,9.473847511516549957e+01
1.710802414354994028e+01,6.779627863813900035e+01
1.579514368758879961e+01,5.013276578853639620e+01
1.098956242789112636e+01,2.864449715803230134e+01
1.040142541336159177e+01,1.833491287420222804e+01
1.365278936802449294e+01,2.023955481402221324e+01
2.134251382665349084e+01,2.461794744864542039e+01
2.744974665527177748e+01,2.759556736451569492e+01
2.363183883710344446e+01,2.370222441423846860e+01
4.204221369363450833e+01,1.914621026612238808e+01
3.752742214147983901e+01,2.589423533980745162e+01
5.447936537681093938e+01,2.269140214023014224e+01
7.657436992627148697e+01,1.764133224845615899e+01
8.377521753733061871e+01,2.357955764093696516e+01
1.302420560959041040e+02,2.131591198822627220e+01
1.355165028909576108e+02,2.067568640040136430e+01
1.867899059944269595e+02,2.657922172550908968e+01
1.989118838058819279e+02,2.257949480565382316e+01
2.421928748655259653e+02,2.836523597377791717e+01
1.616209601363837862e+02,5.185277966528359883e+01
1.472321503085697429e+02,6.074752354190252390e+01
1.690382367743503380e+02,7.276196786177432330e+01
1.659603725812908408e+02,9.087739520938374937e+01
1.134383371285825177e+02,1.724029388145995085e+02
9.855008048305926138e+01,2.078929864272897987e+02
1.125591023810327869e+02,3.159511686895477283e+02
8.031756065283460089e+01,4.186508021508927300e+02
6.014971242310558353e+01,6.463884253295850613e+02
7.113237914752060931e+01,7.588713480680006569e+02
4.820263255276264402e+01,9.635124644365558879e+02
4.694322561846525588e+01,1.434127609083882589e+03
2.379162483862877053e+01,4.881168079837952973e+03
3.087163892741800097e+01,5.035909942848881656e+03
4.127623598289331142e+01,4.736860262983506800e+03
3.601974172931007701e+01,4.374285164022823665e+03
4.313911686752588537e+01,5.106398672587412875e+03
4.326865970731343225e+01,3.768982808874266993e+03
6.293471411493335665e+01,3.785142382681769050e+03
5.625706210859743805e+01,3.882554543453894894e+03
5.910004176453772118e+01,4.696085323599075309e+03
7.905808765132238136e+01,3.698622859698061347e+03
7.639728313627270495e+01,5.198252739714499512e+03
8.267345416241774103e+01,3.558272461817774456e+03
1.149854491318282044e+02,2.565384010099454827e+03
1.370753471367924874e+02,1.034691682359008382e+03
2.658339722304426687e+02,4.763418629348171294e+02
3.285236689698775194e+02,1.895830233373286262e+02
3.623826707252364372e+02,1.089563413849030411e+02
4.490568024810755787e+02,5.160791570183516797e+01
8.008522261676765766e+02,2.153636091201187597e+01
1.038466941778191313e+03,1.393254986295042386e+01
1.218794321916179570e+03,6.753311158275858261e+00
1.367773623962571719e+03,2.637642349680215048e+00
2.008980949797804897e+03,1.267620486042961403e+00
2.528702598640571978e+03,1.092005607824287017e+00
2.158524083143154257e+03,9.543306629389928242e-01
1.965523740045015074e+03,9.515165071457899471e-01
1.697852373957422060e+03,9.535022187435607810e-01
1.772023620122945886e+03,8.421781521472092580e-01
1.533068712138208639e+03,9.390112565043223780e-01
9.580474534562674762e+02,1.153368447791005558e+00
1.113218297783143953e+03,7.967809686645611622e-01
7.800656787262133776e+02,9.582968933982174420e-01
